feature,importance
baseline_attendance,0.3659549311178587
pre_last_progress_std,0.11526600256145732
referral_rate,0.0678645369734136
baseline_progress,0.05380642991909738
avg_services_per_plan,0.04175962069748364
visit_safety_concern_rate,0.0357959877342838
pre_last_attendance_std,0.03312073902286332
positive_shift_rate,0.02984849883937511
pre_last_mean_progress,0.023005711589726627
visit_followup_rate,0.02008469090196145
home_visit_count,0.019670228155344773
avg_health_score,0.019157654718114876
concerns_rate,0.017521831400467213
family_is_4ps,0.01729800881054002
avg_session_duration,0.01622902231834808
pre_last_mean_attendance,0.015018531230655724
health_score_change,0.014988131517237902
process_session_count,0.014373795087153349
safehouse_id,0.013817675174482687
initial_risk_num,0.013740741808242928
risk_improvement,0.013058451191890726
case_category_Surrendered,0.009496614059046199
edu_record_count,0.008585394499616518
has_special_needs,0.004813126949655151
initial_risk_level_Medium,0.0038636911547833865
initial_risk_level_High,0.0028477382997287096
current_risk_level_Medium,0.002001036941812467
case_category_Foundling,0.0016597729584662618
current_risk_num,0.0013481408743657507
initial_risk_level_Low,0.001291342497752992
education_plan_achieved,0.0010360713648212825
case_category_Neglected,0.0008330038473466306
current_risk_level_Low,0.0007535782570939578
current_risk_level_High,8.926752551146613e-05
education_plan_count,0.0
plan_count,0.0
is_pwd,0.0
